benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url
BAIR Robot Pushing,2017-10-30,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Video Generation'},https://paperswithcode.com/dataset/bair-robot-pushing
ActivityNet Captions,2020-03-17,1,8,8,8,8.0,7,7.0,7.0,7.0,3,"{'Temporal Action Proposal Generation', 'Dense Video Captioning', 'Video Captioning'}",https://paperswithcode.com/dataset/activitynet-captions
Sports-1M,2014-06-23,1,10,10,10,10.0,7,7.0,7.0,7.0,1,{'Action Recognition'},https://paperswithcode.com/dataset/sports-1m
PhysioNet Challenge 2012,2010-11-30,1,9,9,9,9.0,7,7.0,7.0,7.0,2,"{'Imputation', 'Multivariate Time Series Imputation'}",https://paperswithcode.com/dataset/physionet-challenge-2012
Extended Yale B,2012-03-05,1,9,9,9,9.0,7,7.0,7.0,7.0,1,{'Image Clustering'},https://paperswithcode.com/dataset/extended-yale-b-1
CRAG,2015-05-18,1,14,14,14,14.0,7,7.0,7.0,7.0,1,{'Colorectal Gland Segmentation:'},
Caltech-101,2018-05-02,1,9,9,9,9.0,7,7.0,7.0,7.0,2,"{'Fine-Grained Image Classification', 'Semantic correspondence'}",https://paperswithcode.com/dataset/caltech-101
cvusa,2016-11-21,1,8,8,8,8.0,7,7.0,7.0,7.0,2,"{'Cross-View Image-to-Image Translation', 'Image-Based Localization'}",
EGTEA,2017-08-07,1,7,7,7,7.0,7,7.0,7.0,7.0,2,"{'Long-tail Learning', 'Egocentric Activity Recognition'}",https://paperswithcode.com/dataset/egtea
MORPH,2016-11-06,2,10,1,9,5.0,7,1.0,6.0,3.5,2,"{'Age Estimation', 'Age-Invariant Face Recognition'}",https://paperswithcode.com/dataset/morph
PASCAL Face,2014-08-06,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Face Detection'},https://paperswithcode.com/dataset/pascal-face
UBI-Fights,2016-04-15,1,13,13,13,13.0,7,7.0,7.0,7.0,2,"{'Abnormal Event Detection In Video', 'Semi-supervised Anomaly Detection'}",https://paperswithcode.com/dataset/ubi-fights
Srinivasan2014,2015-12-10,1,10,10,10,10.0,6,6.0,6.0,6.0,1,{'Retinal OCT Disease Classification'},
Oxf105k,2015-11-18,1,9,9,9,9.0,6,6.0,6.0,6.0,1,{'Image Retrieval'},
Oulu-CASIA,2014-12-03,3,9,3,3,3.0,6,3.0,3.0,3.0,2,"{'Face Verification', 'Facial Expression Recognition'}",https://paperswithcode.com/dataset/oulu-casia
Senz3D,2017-05-25,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Gesture-to-Gesture Translation'},
GOT-10k,2018-11-19,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Visual Object Tracking'},https://paperswithcode.com/dataset/got-10k
Set12,2017-10-11,5,15,1,5,3.0,6,1.0,5.0,3.0,1,{'Grayscale Image Denoising'},https://paperswithcode.com/dataset/set12
UTD-MHAD,2018-06-01,1,7,7,7,7.0,6,6.0,6.0,6.0,2,"{'Multimodal Activity Recognition', 'Action Recognition'}",https://paperswithcode.com/dataset/utd-mhad
UT-Kinect,2014-06-23,1,6,6,6,6.0,6,6.0,6.0,6.0,2,"{'Multimodal Activity Recognition', 'Skeleton Based Action Recognition'}",https://paperswithcode.com/dataset/ut-kinect
CAD-120,2012-10-04,1,8,8,8,8.0,6,6.0,6.0,6.0,1,{'Skeleton Based Action Recognition'},https://paperswithcode.com/dataset/cad-120
Trillion Pairs Dataset,2016-04-12,1,12,12,12,12.0,6,6.0,6.0,6.0,2,"{'Face Verification', 'Face Identification'}",
BDD100K,2018-11-07,1,6,6,6,6.0,6,6.0,6.0,6.0,5,"{'Object Detection', 'Multiple Object Tracking', 'Lane Detection', 'Semantic Segmentation', 'Steering Control'}",https://paperswithcode.com/dataset/bdd100k
Dayton (256×256),2016-11-21,1,10,10,10,10.0,6,6.0,6.0,6.0,2,"{'ground-to-aerial - Cross-View Image-to-Image Translation', 'aerial-to-ground - Cross-View Image-to-Image Translation'}",
EPIC-KITCHENS-55,2018-11-26,1,7,7,7,7.0,6,6.0,6.0,6.0,2,"{'Egocentric Activity Recognition', 'Action Recognition'}",https://paperswithcode.com/dataset/epic-kitchens
TotalCapture,2016-01-30,1,10,10,10,10.0,6,6.0,6.0,6.0,2,"{'3D Human Pose Estimation', '3D Absolute Human Pose Estimation'}",https://paperswithcode.com/dataset/totalcapture
Fashion200k,2014-11-17,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Image Retrieval with Multi-Modal Query'},
CrowdHuman,2018-04-30,1,9,9,9,9.0,6,6.0,6.0,6.0,1,{'Object Detection'},https://paperswithcode.com/dataset/crowdhuman
NTU Hand Digit,2017-05-25,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Gesture-to-Gesture Translation'},
Multi-Modal CelebA-HQ,2017-11-28,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Text-to-Image Generation'},https://paperswithcode.com/dataset/multi-modal-celeba-hq-1
STARE,2015-05-18,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Retinal Vessel Segmentation'},https://paperswithcode.com/dataset/stare
SOC,2017-07-01,1,7,7,7,7.0,6,6.0,6.0,6.0,1,{'RGB Salient Object Detection'},https://paperswithcode.com/dataset/soc
RAF-DB,2018-05-13,2,6,1,5,3.0,6,1.0,5.0,3.0,1,{'Facial Expression Recognition'},https://paperswithcode.com/dataset/raf-db
Cell,2016-03-27,3,6,1,4,2.0,6,1.0,4.0,2.0,3,"{'Medical Image Segmentation', 'Nuclear Segmentation', 'Color Image Denoising'}",https://paperswithcode.com/dataset/cell
RESIDE,2018-05-31,3,9,1,4,3.0,6,1.0,4.0,3.0,1,{'Image Dehazing'},https://paperswithcode.com/dataset/reside
COCO-20i (1-shot),2019-09-28,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Few-Shot Semantic Segmentation'},
HICO,2015-05-05,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Human-Object Interaction Detection'},https://paperswithcode.com/dataset/hico
Syn2Real,2015-05-28,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Synthetic-to-Real Translation'},https://paperswithcode.com/dataset/syn2real
COCO-20i (5-shot),2019-09-28,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Few-Shot Semantic Segmentation'},
CK+,2016-09-21,1,6,6,6,6.0,6,6.0,6.0,6.0,2,"{'Facial Expression Recognition', 'Face Verification'}",https://paperswithcode.com/dataset/ck
Volleyball,2016-11-28,1,9,9,9,9.0,6,6.0,6.0,6.0,2,"{'Group Activity Recognition', 'Action Recognition'}",https://paperswithcode.com/dataset/volleyball
Materials Project,2017-10-27,1,7,7,7,7.0,6,6.0,6.0,6.0,1,{'Formation Energy'},https://paperswithcode.com/dataset/materials-project
MSRDailyActivity3D,2014-03-03,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Multimodal Activity Recognition'},https://paperswithcode.com/dataset/msrdailyactivity3d
COCO-Text,2016-06-29,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Scene Text Detection'},https://paperswithcode.com/dataset/coco-text
smallNORB,2017-10-26,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Image Classification'},https://paperswithcode.com/dataset/smallnorb
SPair-71k,2019-08-18,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Semantic correspondence'},https://paperswithcode.com/dataset/spair-71k
Varying-view RGB-D Action-Skeleton,2016-04-11,1,7,7,7,7.0,6,6.0,6.0,6.0,1,{'Skeleton Based Action Recognition'},
HANDS 2017,2017-08-11,1,7,7,7,7.0,6,6.0,6.0,6.0,1,{'Hand Pose Estimation'},
VIDIT’20 validation set,2018-02-06,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Image Relighting'},
coil-100,2012-08-25,1,9,9,9,9.0,5,5.0,5.0,5.0,1,{'Image Clustering'},
ImageNet (finetuned),2019-05-03,1,6,6,6,6.0,5,5.0,5.0,5.0,1,{'Self-Supervised Image Classification'},
Horizon Lines in the Wild,2016-04-07,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Horizon Line Estimation'},
COCO 2014 val,2018-06-01,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Weakly-Supervised Semantic Segmentation'},
iNaturalist 2019,2020-11-25,1,13,13,13,13.0,5,5.0,5.0,5.0,1,{'Image Classification'},
Berkeley,2019-06-01,1,6,6,6,6.0,5,5.0,5.0,5.0,1,{'Interactive Segmentation'},
Beijing Air Quality,2010-11-30,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Multivariate Time Series Imputation'},
ShanghaiTech Weakly Supervised,2019-03-18,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Anomaly Detection In Surveillance Videos'},
ACDC,2008-02-01,1,8,8,8,8.0,5,5.0,5.0,5.0,2,"{'Medical Image Segmentation', 'Diffeomorphic Medical Image Registration'}",https://paperswithcode.com/dataset/acdc
MEF,2016-06-01,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Low-Light Image Enhancement'},https://paperswithcode.com/dataset/mef
EPIC-KITCHENS-55 (Seen test set (S1)),2017-07-16,1,6,6,6,6.0,5,5.0,5.0,5.0,1,{'Action Anticipation'},
pendigits,2018-05-25,1,9,9,9,9.0,5,5.0,5.0,5.0,2,"{'Image Clustering', 'Image/Document Clustering'}",
COD,2019-04-18,1,6,6,6,6.0,5,5.0,5.0,5.0,1,{'Camouflaged Object Segmentation'},
Places,2018-01-24,3,5,1,2,1.6666666666666667,5,1.0,2.0,1.6666666666666667,2,"{'Image Classification', 'Image Inpainting'}",https://paperswithcode.com/dataset/places
MHP,2017-03-20,2,8,4,4,4.0,5,4.0,4.0,4.0,2,"{'Human Part Segmentation', 'Multi-Human Parsing'}",https://paperswithcode.com/dataset/mhp
VV,2016-06-01,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Low-Light Image Enhancement'},
EPIC-KITCHENS-55 (Unseen test set (S2),2017-07-16,1,6,6,6,6.0,5,5.0,5.0,5.0,1,{'Action Anticipation'},
EV-Action,2015-11-01,1,9,9,9,9.0,5,5.0,5.0,5.0,1,{'Multimodal Activity Recognition'},
ECPE,2019-06-04,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Emotion-Cause Pair Extraction'},
Classic5,2016-08-13,4,16,3,5,4.0,5,3.0,5.0,4.0,1,{'JPEG Artifact Correction'},https://paperswithcode.com/dataset/classic5
FER+,2018-08-16,2,5,1,4,2.5,5,1.0,4.0,2.5,1,{'Facial Expression Recognition'},https://paperswithcode.com/dataset/fer
Pix3D,2016-10-24,3,7,1,5,2.3333333333333335,5,1.0,4.0,2.0,3,"{'3D Shape Classification', '3D Shape Modeling', '3D Shape Reconstruction'}",https://paperswithcode.com/dataset/pix3d
GRID Dataset,2016-11-05,1,6,6,6,6.0,5,5.0,5.0,5.0,3,"{'Lipreading', 'Speaker-Specific Lip to Speech Synthesis', 'Lip Reading'}",https://paperswithcode.com/dataset/grid
VOT2016,2017-04-20,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Visual Object Tracking'},https://paperswithcode.com/dataset/vot2016
Birdsnap,2018-11-16,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Fine-Grained Image Classification'},https://paperswithcode.com/dataset/birdsnap
DICM,2016-06-01,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Low-Light Image Enhancement'},https://paperswithcode.com/dataset/dicm
CrowdPose,2017-03-20,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Multi-Person Pose Estimation'},https://paperswithcode.com/dataset/crowdpose
Mid-Air Dataset,2016-09-13,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Monocular Depth Estimation'},https://paperswithcode.com/dataset/mid-air-dataset
SKU110K,2015-06-04,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Dense Object Detection'},https://paperswithcode.com/dataset/sku110k
G3D,2016-06-27,1,6,6,6,6.0,5,5.0,5.0,5.0,2,"{'Skeleton Based Action Recognition', 'Pose Prediction'}",https://paperswithcode.com/dataset/g3d
CFP-FP,2019-07-12,1,5,5,5,5.0,5,5.0,5.0,5.0,2,"{'Face Verification', 'Face Recognition'}",
CDD Dataset (season-varying),2019-06-10,1,6,6,6,6.0,5,5.0,5.0,5.0,1,{'Change detection for remote sensing images'},https://paperswithcode.com/dataset/cdd-dataset-season-varying
Composition-1K,2017-03-10,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Image Matting'},https://paperswithcode.com/dataset/composition-1k
PROBA-V,2018-08-27,1,6,6,6,6.0,5,5.0,5.0,5.0,1,{'Multi-Frame Super-Resolution'},https://paperswithcode.com/dataset/proba-v
CompCars,2015-06-30,1,6,6,6,6.0,5,5.0,5.0,5.0,1,{'Fine-Grained Image Classification'},https://paperswithcode.com/dataset/compcars
LUNA,2015-05-18,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Lung Nodule Segmentation'},https://paperswithcode.com/dataset/luna
PIE,2017-11-24,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Trajectory Prediction'},https://paperswithcode.com/dataset/pie
Par106k,2015-11-18,1,7,7,7,7.0,5,5.0,5.0,5.0,1,{'Image Retrieval'},
UCF-Crime,2018-01-12,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Anomaly Detection In Surveillance Videos'},https://paperswithcode.com/dataset/ucf-crime
Flickr30K Entities,2015-11-12,2,6,1,5,3.0,5,1.0,5.0,3.0,1,{'Phrase Grounding'},https://paperswithcode.com/dataset/flickr30k-entities
Oxf5k,2016-04-05,1,11,11,11,11.0,5,5.0,5.0,5.0,1,{'Image Retrieval'},
Par6k,2015-11-18,1,7,7,7,7.0,5,5.0,5.0,5.0,1,{'Image Retrieval'},
CLEVR-Humans,2017-05-10,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/clevr-humans
SSD,2019-06-01,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'RGB-D Salient Object Detection'},https://paperswithcode.com/dataset/ssd-1
PF-WILLOW,2019-08-18,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Semantic correspondence'},https://paperswithcode.com/dataset/pf-willow
BraTS 2015,2016-03-18,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Brain Tumor Segmentation'},https://paperswithcode.com/dataset/brats-2015-1
Florence3D,2014-06-23,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Skeleton Based Action Recognition'},https://paperswithcode.com/dataset/florence3d
CUHK-SYSU,2016-10-17,1,9,9,9,9.0,5,5.0,5.0,5.0,2,"{'Person Re-Identification', 'Person Search'}",https://paperswithcode.com/dataset/cuhk-sysu
3D Poses in the Wild Challenge,2019-07-26,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'3D Human Pose Estimation'},
ICB,2015-04-27,6,24,1,5,4.0,5,1.0,5.0,4.0,1,{'JPEG Artifact Correction'},https://paperswithcode.com/dataset/icb
EmoryNLP,2019-09-24,1,7,7,7,7.0,5,5.0,5.0,5.0,1,{'Emotion Recognition in Conversation'},https://paperswithcode.com/dataset/emorynlp
MIT-States,2014-11-17,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Image Retrieval with Multi-Modal Query'},https://paperswithcode.com/dataset/mit-states
Watercolor2k,2015-11-09,1,5,5,5,5.0,5,5.0,5.0,5.0,1,{'Weakly Supervised Object Detection'},
Waymo Open Dataset,2019-12-31,7,22,1,8,3.142857142857143,5,1.0,2.0,1.5714285714285714,3,"{'Multiple Object Tracking', 'Object Detection', '3D Object Detection'}",https://paperswithcode.com/dataset/waymo-open-dataset
FER2013,2013-07-01,1,8,8,8,8.0,5,5.0,5.0,5.0,2,"{'Facial Expression Recognition', 'Image Compression'}",https://paperswithcode.com/dataset/fer2013
Places-LT,2019-04-10,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Long-tail Learning'},https://paperswithcode.com/dataset/places-lt
Hopkins155,2012-03-05,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Motion Segmentation'},https://paperswithcode.com/dataset/hopkins155
RaFD,2016-10-18,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Image-to-Image Translation'},https://paperswithcode.com/dataset/rafd
ImageNet 256x256,2018-09-28,1,6,6,6,6.0,4,4.0,4.0,4.0,1,{'Image Generation'},
AOLP,2018-09-01,2,4,1,3,2.0,4,1.0,3.0,2.0,1,{'License Plate Recognition'},https://paperswithcode.com/dataset/aolp
Acted Facial Expressions In The Wild (AFEW),2019-06-29,1,7,7,7,7.0,4,4.0,4.0,4.0,1,{'Facial Expression Recognition'},https://paperswithcode.com/dataset/acted-facial-expressions-in-the-wild-afew
iSAID,2017-03-20,1,9,9,9,9.0,4,4.0,4.0,4.0,3,"{'Instance Segmentation', 'Semantic Segmentation', 'Object Detection'}",https://paperswithcode.com/dataset/isaid
PanoContext,2018-03-23,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'3D Room Layouts From A Single RGB Panorama'},https://paperswithcode.com/dataset/panocontext
Freiburg Forest,2017-03-02,2,5,2,3,2.5,4,1.0,3.0,2.0,2,"{'Semantic Segmentation', 'Unsupervised Image-To-Image Translation'}",https://paperswithcode.com/dataset/freiburg-forest
AFHQ,2018-04-12,1,5,5,5,5.0,4,4.0,4.0,4.0,2,"{'Image-to-Image Translation', 'Multimodal Unsupervised Image-To-Image Translation'}",https://paperswithcode.com/dataset/afhq
Paris-Lille-3D,2017-11-30,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'LIDAR Semantic Segmentation'},https://paperswithcode.com/dataset/paris-lille-3d
Stirling-LQ (FG2018 3D face reconstruction challenge),2018-03-21,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'3D Face Reconstruction'},
Stirling-HQ (FG2018 3D face reconstruction challenge),2018-03-21,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'3D Face Reconstruction'},
FoodSeg103,2018-11-28,1,6,6,6,6.0,4,4.0,4.0,4.0,1,{'Semantic Segmentation'},https://paperswithcode.com/dataset/foodseg103
PHYRE,2019-08-15,2,8,4,4,4.0,4,4.0,4.0,4.0,1,{'Visual Reasoning'},https://paperswithcode.com/dataset/phyre
PEMS-SF,2018-01-01,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Multivariate Time Series Imputation'},
Pascal3D+,2014-11-04,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Keypoint Detection'},
ISIC 2018,2018-10-18,1,7,7,7,7.0,4,4.0,4.0,4.0,1,{'Lesion Segmentation'},
PASCAL-5i (10-Shot),2020-08-04,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Few-Shot Semantic Segmentation'},
FaceForensics++,2020-04-16,1,8,8,8,8.0,4,4.0,4.0,4.0,2,"{'DeepFake Detection', 'Face Swapping'}",https://paperswithcode.com/dataset/faceforensics-1
n-MNIST,2018-06-21,1,4,4,4,4.0,4,4.0,4.0,4.0,3,"{'Document Image Classification', 'Incomplete multi-view clustering', 'Partially View-aligned Multi-view Learning'}",
ITOP,2016-03-23,2,7,3,4,3.5,4,3.0,4.0,3.5,1,{'Pose Estimation'},https://paperswithcode.com/dataset/itop
Im2GPS,2016-02-17,1,9,9,9,9.0,4,4.0,4.0,4.0,1,{'Photo geolocation estimation'},
RWTH-PHOENIX-Weather 2014 T,2018-06-01,1,5,5,5,5.0,4,4.0,4.0,4.0,2,"{'Sign Language Recognition', 'Sign Language Translation'}",
FG-NET,2018-04-08,2,6,2,4,3.0,4,2.0,2.0,2.0,2,"{'Age Estimation', 'Age-Invariant Face Recognition'}",https://paperswithcode.com/dataset/fg-net
Synth Digits-to-SVHN,2015-02-10,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Domain Adaptation'},
ImageNet-LT,2019-04-10,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Long-tail learning with class descriptors'},https://paperswithcode.com/dataset/imagenet-lt
MNIST-M,2015-02-10,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Domain Adaptation'},https://paperswithcode.com/dataset/mnist-m
Eurasian Cities Dataset,2016-04-07,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Horizon Line Estimation'},
Basketball Players Movement,2018-01-23,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Multivariate Time Series Imputation'},
Dayton (64×64),2016-11-21,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'aerial-to-ground - Cross-View Image-to-Image Translation'},
Dayton (64x64),2016-11-21,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'ground-to-aerial - Cross-View Image-to-Image Translation'},
NLVR,2019-08-09,3,7,1,3,2.3333333333333335,4,1.0,3.0,2.3333333333333335,1,{'Visual Reasoning'},https://paperswithcode.com/dataset/nlvr
BraTS 2013,2015-05-13,2,5,2,3,2.5,4,2.0,3.0,2.5,1,{'Brain Tumor Segmentation'},https://paperswithcode.com/dataset/brats-2013-1
MultiTHUMOS,2015-07-21,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Action Detection'},https://paperswithcode.com/dataset/multithumos
Apolloscape,2019-12-02,1,8,8,8,8.0,4,4.0,4.0,4.0,4,"{'Semantic Segmentation', 'Image Inpainting', 'Motion Segmentation', 'Trajectory Prediction'}",
BraTS 2018,2018-10-27,2,4,1,3,2.0,4,1.0,3.0,2.0,1,{'Brain Tumor Segmentation'},https://paperswithcode.com/dataset/brats-2018-1
UT,2013-06-01,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Human Interaction Recognition'},
YouTube-8M,2016-09-27,1,4,4,4,4.0,4,4.0,4.0,4.0,2,"{'Video Classification', 'Video Prediction'}",https://paperswithcode.com/dataset/youtube-8m
Sequential CIFAR-10,2018-03-01,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Sequential Image Classification'},
DFW,2018-04-25,2,6,2,4,3.0,4,1.0,4.0,2.5,2,"{'Disguised Face Verification', 'Heterogeneous Face Recognition'}",https://paperswithcode.com/dataset/dfw
X4K1000FPS,2019-04-01,1,8,8,8,8.0,4,4.0,4.0,4.0,1,{'Video Frame Interpolation'},https://paperswithcode.com/dataset/x4k1000fps
VCR,2019-08-09,6,21,2,5,3.5,4,1.0,4.0,2.6666666666666665,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/vcr
Completion3D,2018-02-15,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Point Cloud Completion'},https://paperswithcode.com/dataset/completion3d
Semantic Image Matting Dataset,2017-03-10,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Semantic Image Matting'},
CoSal2015,2019-06-01,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Co-Salient Object Detection'},https://paperswithcode.com/dataset/cosal2015
CoCA,2019-06-01,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Co-Salient Object Detection'},
LiTS17,2019-08-19,1,5,5,5,5.0,4,4.0,4.0,4.0,2,"{'Medical Image Segmentation', 'Liver Segmentation'}",https://paperswithcode.com/dataset/lits17
SOD,2018-06-01,1,4,4,4,4.0,4,4.0,4.0,4.0,2,"{'RGB Salient Object Detection', 'Salient Object Detection'}",https://paperswithcode.com/dataset/sod
CMU-PIE,2015-11-19,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Image Clustering'},
COCO-20i (10-shot),2020-08-04,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Few-Shot Semantic Segmentation'},
Cholec80,2016-02-09,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Surgical tool detection'},https://paperswithcode.com/dataset/cholec80
VeRi-776,2018-11-13,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Vehicle Re-Identification'},https://paperswithcode.com/dataset/veri-776
VehicleID,2018-11-13,3,12,4,4,4.0,4,4.0,4.0,4.0,1,{'Vehicle Re-Identification'},https://paperswithcode.com/dataset/vehicleid
Chairs,2016-06-01,1,8,8,8,8.0,4,4.0,4.0,4.0,1,{'Sketch-Based Image Retrieval'},https://paperswithcode.com/dataset/chairs
SUTD-TrafficQA,2015-05-08,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Video Question Answering'},https://paperswithcode.com/dataset/trafficqa
Venice,2016-01-01,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Crowd Counting'},
MS-1M vs. IJB-C,2017-06-08,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Out-of-Distribution Detection'},
CVC-ColonDB,2020-06-13,1,6,6,6,6.0,4,4.0,4.0,4.0,1,{'Medical Image Segmentation'},
DocUNet,2018-06-01,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'MS-SSIM'},
SUN-LT,2019-06-01,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Long-tail learning with class descriptors'},
NVGesture,2018-04-19,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Hand Gesture Recognition'},https://paperswithcode.com/dataset/nvgesture-1
Indian Driving Dataset,2019-01-08,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Panoptic Segmentation'},
VizDoom,2016-05-06,2,4,1,3,2.0,4,1.0,3.0,2.0,2,"{'Scene Generation', 'Playing Game of Doom'}",https://paperswithcode.com/dataset/vizdoom
DogCentric,2014-09-04,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Activity Recognition In Videos'},
KDD CUP Challenge 2018,2010-11-30,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Multivariate Time Series Imputation'},
EPIC-KITCHENS-100,2020-06-23,1,14,14,14,14.0,4,4.0,4.0,4.0,1,{'Action Recognition'},https://paperswithcode.com/dataset/epic-kitchens-100
ObjectNet,2019-12-01,2,12,4,8,6.0,4,2.0,3.0,2.5,1,{'Image Classification'},https://paperswithcode.com/dataset/objectnet
ETIS-LARIBPOLYPDB,2020-06-13,1,6,6,6,6.0,4,4.0,4.0,4.0,1,{'Medical Image Segmentation'},
O-HAZE,2018-05-14,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Image Dehazing'},https://paperswithcode.com/dataset/o-haze-1
UCI Machine Learning Repository,2010-11-30,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Multivariate Time Series Imputation'},https://paperswithcode.com/dataset/uci-machine-learning-repository
AwA,2019-06-01,1,5,5,5,5.0,4,4.0,4.0,4.0,1,{'Long-tail learning with class descriptors'},https://paperswithcode.com/dataset/awa-1
BP4D,2017-02-14,1,4,4,4,4.0,4,4.0,4.0,4.0,3,"{'Action Unit Detection', 'Facial Expression Recognition', 'Facial Action Unit Detection'}",https://paperswithcode.com/dataset/bp4d
Nighttime Driving,2018-10-05,1,6,6,6,6.0,4,4.0,4.0,4.0,1,{'Semantic Segmentation'},https://paperswithcode.com/dataset/nighttime-driving
Argoverse,2020-08-19,2,268,5,263,134.0,4,4.0,4.0,4.0,3,"{'Motion Forecasting', '3D Object Tracking', '3D Object Detection'}",https://paperswithcode.com/dataset/argoverse
EgoGesture,2017-05-22,1,4,4,4,4.0,4,4.0,4.0,4.0,2,"{'Hand Gesture Recognition', 'Action Recognition'}",https://paperswithcode.com/dataset/egogesture
Salinas,2019-02-18,2,3,1,2,1.5,3,1.0,2.0,1.5,1,{'Hyperspectral Image Classification'},https://paperswithcode.com/dataset/salinas
R2R,2018-11-25,1,3,3,3,3.0,3,3.0,3.0,3.0,1,{'Vision-Language Navigation'},https://paperswithcode.com/dataset/room-to-room
ReferIt,2016-06-06,1,3,3,3,3.0,3,3.0,3.0,3.0,2,"{'Referring Expression Segmentation', 'Phrase Grounding'}",
